Tokyo	Tokyo	Japan	Tōkyō	JPN
Jakarta	Jakarta	Indonesia	Jakarta	IDN
Delhi	Delhi	India	Delhi	IND
Manila	Manila	Philippines	Manila	PHL
São Paulo	Sao Paulo	Brazil	São Paulo	BRA
Seoul	Seoul	South Korea	Seoul	KOR
Mumbai	Mumbai	India	Mahārāshtra	IND
Shanghai	Shanghai	China	Shanghai	CHN
Mexico City	Mexico City	Mexico	Ciudad de México	MEX
Guangzhou	Guangzhou	China	Guangdong	CHN
Cairo	Cairo	Egypt	Al Qāhirah	EGY
Beijing	Beijing	China	Beijing	CHN
New York	New York	United States	New York	USA
Kolkāta	Kolkata	India	West Bengal	IND
Moscow	Moscow	Russia	Moskva	RUS
Bangkok	Bangkok	Thailand	Krung Thep Maha Nakhon	THA
Dhaka	Dhaka	Bangladesh	Dhaka	BGD
Buenos Aires	Buenos Aires	Argentina	Buenos Aires, Ciudad Autónoma de	ARG
Ōsaka	Osaka	Japan	Ōsaka	JPN
Lagos	Lagos	Nigeria	Lagos	NGA
Istanbul	Istanbul	Turkey	İstanbul	TUR
Karachi	Karachi	Pakistan	Sindh	PAK
Kinshasa	Kinshasa	Congo (Kinshasa)	Kinshasa	COD
Shenzhen	Shenzhen	China	Guangdong	CHN
Bangalore	Bangalore	India	Karnātaka	IND
Ho Chi Minh City	Ho Chi Minh City	Vietnam	Hồ Chí Minh	VNM
Tehran	Tehran	Iran	Tehrān	IRN
Los Angeles	Los Angeles	United States	California	USA
Rio de Janeiro	Rio de Janeiro	Brazil	Rio de Janeiro	BRA
Chengdu	Chengdu	China	Sichuan	CHN
Baoding	Baoding	China	Hebei	CHN
Chennai	Chennai	India	Tamil Nādu	IND
Lahore	Lahore	Pakistan	Punjab	PAK
London	London	United Kingdom	London, City of	GBR
Paris	Paris	France	Île-de-France	FRA
Tianjin	Tianjin	China	Tianjin	CHN
Linyi	Linyi	China	Shandong	CHN
Shijiazhuang	Shijiazhuang	China	Hebei	CHN
Zhengzhou	Zhengzhou	China	Henan	CHN
Nanyang	Nanyang	China	Henan	CHN
Hyderābād	Hyderabad	India	Telangana	IND
Wuhan	Wuhan	China	Hubei	CHN
Handan	Handan	China	Hebei	CHN
Nagoya	Nagoya	Japan	Aichi	JPN
Weifang	Weifang	China	Shandong	CHN
Lima	Lima	Peru	Lima	PER
Zhoukou	Zhoukou	China	Henan	CHN
Luanda	Luanda	Angola	Luanda	AGO
Ganzhou	Ganzhou	China	Jiangxi	CHN
Tongshan	Tongshan	China	Jiangsu	CHN
Kuala Lumpur	Kuala Lumpur	Malaysia	Kuala Lumpur	MYS
Chicago	Chicago	United States	Illinois	USA
Heze	Heze	China	Shandong	CHN
Chongqing	Chongqing	China	Chongqing	CHN
Hanoi	Hanoi	Vietnam	Hà Nội	VNM
Fuyang	Fuyang	China	Anhui	CHN
Changsha	Changsha	China	Hunan	CHN
Dongguan	Dongguan	China	Guangdong	CHN
Jining	Jining	China	Shandong	CHN
Jinan	Jinan	China	Shandong	CHN
Pune	Pune	India	Mahārāshtra	IND
Foshan	Foshan	China	Guangdong	CHN
Bogotá	Bogota	Colombia	Bogotá	COL
Ahmedabad	Ahmedabad	India	Gujarāt	IND
Nanjing	Nanjing	China	Jiangsu	CHN
Changchun	Changchun	China	Jilin	CHN
Tangshan	Tangshan	China	Hebei	CHN
Cangzhou	Cangzhou	China	Hebei	CHN
Dar es Salaam	Dar es Salaam	Tanzania	Dar es Salaam	TZA
Hefei	Hefei	China	Anhui	CHN
Hong Kong	Hong Kong	Hong Kong		HKG
Shaoyang	Shaoyang	China	Hunan	CHN
Zhanjiang	Zhanjiang	China	Guangdong	CHN
Shangqiu	Shangqiu	China	Henan	CHN
Nantong	Nantong	China	Jiangsu	CHN
Yancheng	Yancheng	China	Jiangsu	CHN
Nanning	Nanning	China	Guangxi	CHN
Hengyang	Hengyang	China	Hunan	CHN
Zhumadian	Zhumadian	China	Henan	CHN
Shenyang	Shenyang	China	Liaoning	CHN
Xingtai	Xingtai	China	Hebei	CHN
Xi’an	Xi'an	China	Shaanxi	CHN
Santiago	Santiago	Chile	Región Metropolitana	CHL
Yantai	Yantai	China	Shandong	CHN
Riyadh	Riyadh	Saudi Arabia	Ar Riyāḑ	SAU
Luoyang	Luoyang	China	Henan	CHN
Kunming	Kunming	China	Yunnan	CHN
Shangrao	Shangrao	China	Jiangxi	CHN
Hangzhou	Hangzhou	China	Zhejiang	CHN
Bijie	Bijie	China	Guizhou	CHN
Quanzhou	Quanzhou	China	Fujian	CHN
Miami	Miami	United States	Florida	USA
Wuxi	Wuxi	China	Jiangsu	CHN
Huanggang	Huanggang	China	Hubei	CHN
Maoming	Maoming	China	Guangdong	CHN
Nanchong	Nanchong	China	Sichuan	CHN
Zunyi	Zunyi	China	Guizhou	CHN
Qujing	Qujing	China	Yunnan	CHN
Baghdad	Baghdad	Iraq	Baghdād	IRQ
Xinyang	Xinyang	China	Henan	CHN
Jieyang	Jieyang	China	Guangdong	CHN
Khartoum	Khartoum	Sudan	Khartoum	SDN
Madrid	Madrid	Spain	Madrid	ESP
Allahābād	Allahabad	India	Uttar Pradesh	IND
Yulin	Yulin	China	Guangxi	CHN
Changde	Changde	China	Hunan	CHN
Liaocheng	Liaocheng	China	Shandong	CHN
Qingdao	Qingdao	China	Shandong	CHN
Dallas	Dallas	United States	Texas	USA
